Código Ámbito,Ámbito,Código área (FAO),Área,Código Elemento,Elemento,Código Producto (FAO),Producto,Código año,Año,Unidad,Valor
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2000","2000","toneladas","40600"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2001","2001","toneladas","38900"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2002","2002","toneladas","41800"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2003","2003","toneladas","40600"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2004","2004","toneladas","21317"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2005","2005","toneladas","20694"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2006","2006","toneladas","9322"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2007","2007","toneladas","7640"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2008","2008","toneladas","3464"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2009","2009","toneladas","13900"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2010","2010","toneladas","13900"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2011","2011","toneladas","10500"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2012","2012","toneladas","15500"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2013","2013","toneladas","15600"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2014","2014","toneladas","16800"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2015","2015","toneladas","14600"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2016","2016","toneladas","15400"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2017","2017","toneladas","14200"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2018","2018","toneladas","12400"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","331","Aceite, algodón","2019","2019","toneladas","13100"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","258","Aceite, almendra de palma","2000","2000","toneladas","2"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","258","Aceite, almendra de palma","2001","2001","toneladas","2"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","258","Aceite, almendra de palma","2002","2002","toneladas","25"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","258","Aceite, almendra de palma","2003","2003","toneladas","9"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","258","Aceite, almendra de palma","2004","2004","toneladas","74"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","258","Aceite, almendra de palma","2005","2005","toneladas","139"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","258","Aceite, almendra de palma","2006","2006","toneladas","55"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","258","Aceite, almendra de palma","2007","2007","toneladas","0"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","258","Aceite, almendra de palma","2008","2008","toneladas","0"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","258","Aceite, almendra de palma","2009","2009","toneladas","0"
