

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"España",724,"Extracción de agua agrícola",4250,1992,23.6516666667,"I","","0"
"España",724,"Extracción de agua agrícola",4250,1997,23.41,"X","[1]","6654"
"España",724,"Extracción de agua agrícola",4250,2002,23.04,"X","[2]","6654"
"España",724,"Extracción de agua agrícola",4250,2007,23.18,"X","[3]","6654"
"España",724,"Extracción de agua agrícola",4250,2012,25.47,"X","[4]","6654"
"España",724,"Extracción de agua agrícola",4250,2017,20.365,"I","","0"
"España",724,"Extracción de agua agrícola",4250,2018,20.365,"I","","0"
"España",724,"Extracción de agua industrial",4252,1992,6.4466666667,"I","","0"
"España",724,"Extracción de agua industrial",4252,1997,6.68,"X","","6654"
"España",724,"Extracción de agua industrial",4252,2002,7.447,"X","","6654"
"España",724,"Extracción de agua industrial",4252,2007,6.495,"X","","6654"
"España",724,"Extracción de agua industrial",4252,2012,6.572,"X","","6654"
"España",724,"Extracción de agua industrial",4252,2017,5.966,"I","","0"
"España",724,"Extracción de agua industrial",4252,2018,5.966,"I","","0"
"España",724,"Extracción de agua municipal",4251,1992,6.4181666667,"I","","0"
"España",724,"Extracción de agua municipal",4251,1997,4.509,"X","","6654"
"España",724,"Extracción de agua municipal",4251,2002,5.448,"X","","6654"
"España",724,"Extracción de agua municipal",4251,2007,5.898,"X","","6654"
"España",724,"Extracción de agua municipal",4251,2012,4.599,"X","","6918"
"España",724,"Extracción de agua municipal",4251,2017,4.89,"I","","0"
"España",724,"Extracción de agua municipal",4251,2018,4.89,"I","","0"
"España",724,"Extraccion total de agua (suma de sectores)",4253,1992,36.5165,"I","","0"
"España",724,"Extraccion total de agua (suma de sectores)",4253,1997,34.599,"E","","0"
"España",724,"Extraccion total de agua (suma de sectores)",4253,2002,35.935,"E","","0"
"España",724,"Extraccion total de agua (suma de sectores)",4253,2007,35.573,"E","","0"
"España",724,"Extraccion total de agua (suma de sectores)",4253,2012,36.641,"E","","0"
"España",724,"Extraccion total de agua (suma de sectores)",4253,2017,31.221,"I","","0"
"España",724,"Extraccion total de agua (suma de sectores)",4253,2018,31.221,"I","","0"
""
"Metadata:"
"[1] [P-Observaciones-N] | Surface water and groundwater account for 20.501 km3 and 2.931 km3 respectively of total agricultural water withdrawal (Source: Eurostat, 2016)"
"[2] [P-Observaciones-N] | Surface water and groundwater account for 18.832 km3 and 4.212 km3 respectively of total agricultural water withdrawal (Source: Eurostat, 2016)"
"[3] [P-Observaciones-N] | Surface water and groundwater account for 18.630 km3 and 4.550 km3 respectively of total agricultural water withdrawal (Source: Eurostat, 2016)"
"[4] [P-Observaciones-N] | Surface water and groundwater account for 20.375 km3 and 5.094 km3 respectively of total agricultural water withdrawal (Source: Eurostat, 2016)"

-- Coverage
-- Computation information
-- General
-- Accuracy
(c)  FAO of the UN
La información contenida en AQUASTAT se proporciona gratis a todos los usuarios. Atribución recomendada:<br/>
FAO [Año de publicación].Base de Datos AQUASTAT.&nbsp;<a href=""http://www.fao.org/nr/water/aquastat/data/query/index.html?lang=es"" target=""_blank"">Sitio web</a>&nbsp;AQUASTAT accedido el&nbsp; [03/03/2022 19:40]
 
