Uso;Año;Valor 10^9m3/año
Extraccion total de agua (suma de sectores);2000;35.400600000000004
Extraccion total de agua (suma de sectores);2001;35.66780000000001
Extraccion total de agua (suma de sectores);2002;35.935
Extraccion total de agua (suma de sectores);2003;35.8626
Extraccion total de agua (suma de sectores);2004;35.7902
Extraccion total de agua (suma de sectores);2005;35.7178
Extraccion total de agua (suma de sectores);2006;35.645399999999995
Extraccion total de agua (suma de sectores);2007;35.573
Extraccion total de agua (suma de sectores);2008;35.7866
Extraccion total de agua (suma de sectores);2009;36.0002
Extraccion total de agua (suma de sectores);2010;36.2138
Extraccion total de agua (suma de sectores);2011;36.4274
Extraccion total de agua (suma de sectores);2012;36.641
Extraccion total de agua (suma de sectores);2013;35.557
Extraccion total de agua (suma de sectores);2014;34.473
Extraccion total de agua (suma de sectores);2015;33.388999999999996
Extraccion total de agua (suma de sectores);2016;32.30499999999999
Extraccion total de agua (suma de sectores);2017;31.221
Extraccion total de agua (suma de sectores);2018;31.221
Extracción de agua agrícola;2000;23.187999999999995
Extracción de agua agrícola;2001;23.113999999999994
Extracción de agua agrícola;2002;23.04
Extracción de agua agrícola;2003;23.067999999999998
Extracción de agua agrícola;2004;23.095999999999997
Extracción de agua agrícola;2005;23.123999999999995
Extracción de agua agrícola;2006;23.151999999999994
Extracción de agua agrícola;2007;23.18
Extracción de agua agrícola;2008;23.637999999999998
Extracción de agua agrícola;2009;24.095999999999997
Extracción de agua agrícola;2010;24.553999999999995
Extracción de agua agrícola;2011;25.011999999999993
Extracción de agua agrícola;2012;25.47
Extracción de agua agrícola;2013;24.448999999999998
Extracción de agua agrícola;2014;23.427999999999997
Extracción de agua agrícola;2015;22.406999999999996
Extracción de agua agrícola;2016;21.385999999999996
Extracción de agua agrícola;2017;20.365
Extracción de agua agrícola;2018;20.365
Extracción de agua industrial;2000;7.140200000000001
Extracción de agua industrial;2001;7.293600000000001
Extracción de agua industrial;2002;7.447
Extracción de agua industrial;2003;7.2566
Extracción de agua industrial;2004;7.066199999999999
Extracción de agua industrial;2005;6.875799999999999
Extracción de agua industrial;2006;6.685399999999999
Extracción de agua industrial;2007;6.495
Extracción de agua industrial;2008;6.5104
Extracción de agua industrial;2009;6.525799999999999
Extracción de agua industrial;2010;6.541199999999999
Extracción de agua industrial;2011;6.556599999999999
Extracción de agua industrial;2012;6.572
Extracción de agua industrial;2013;6.4508
Extracción de agua industrial;2014;6.3296
Extracción de agua industrial;2015;6.2084
Extracción de agua industrial;2016;6.0872
Extracción de agua industrial;2017;5.966
Extracción de agua industrial;2018;5.966
Extracción de agua municipal;2000;5.072400000000001
Extracción de agua municipal;2001;5.260200000000001
Extracción de agua municipal;2002;5.448
Extracción de agua municipal;2003;5.538
Extracción de agua municipal;2004;5.628
Extracción de agua municipal;2005;5.718
Extracción de agua municipal;2006;5.808
Extracción de agua municipal;2007;5.898
Extracción de agua municipal;2008;5.638199999999999
Extracción de agua municipal;2009;5.378399999999999
Extracción de agua municipal;2010;5.118599999999999
Extracción de agua municipal;2011;4.858799999999999
Extracción de agua municipal;2012;4.599
Extracción de agua municipal;2013;4.6572000000000005
Extracción de agua municipal;2014;4.715400000000001
Extracción de agua municipal;2015;4.773600000000001
Extracción de agua municipal;2016;4.831800000000001
Extracción de agua municipal;2017;4.89
Extracción de agua municipal;2018;4.89
