"C?digo Grupo de Productos","Grupo de Productos","C?digo Producto","Producto","Coeficiente","C?digo HS","C?digo HS07","C?digo HS12","C?digo CPC"
"QA","Animales Vivos","1756","Animales Vivos","1","","","","F1756"
"QC","Cultivos Primarios","1753","Cultivos Fibras Primaria","1","","","","F1753"
"QC","Cultivos Primarios","1730","Cultivos Oleaginosos Pri","1","","","","F1730"
"QC","Cultivos Primarios","1714","Cultivos Primarios","1","","","","F1714"
"QL","Ganader?a primaria","1777","Cueros y pieles primarias","1","","","","F1777"
"1756","Animales Vivos","1107","Asnos","1","","010110, 010190","010130","02132"
"QA","Animales Vivos","1107","Asnos","1","","010110, 010190","010130","02132"
"QA","Animales Vivos","2029","Aves de corral","1","","","","F2029"
"1756","Animales Vivos","946","B?falos","1","","010210, 010290","010231, 010239","02112"
"QA","Animales Vivos","946","B?falos","1","","010210, 010290","010231, 010239","02112"
"1756","Animales Vivos","1096","Caballos","1","","010110, 010190","010121, 010129","02131"
"QA","Animales Vivos","1096","Caballos","1","","010110, 010190","010121, 010129","02131"
"1756","Animales Vivos","1157","Cam?lidos, otros","1","","010619","010613","02121.02"
"QA","Animales Vivos","1157","Cam?lidos, otros","1","","010619","010613","02121.02"
"1756","Animales Vivos","1126","Camellos","1","","010619","010613","02121.01"
"QA","Animales Vivos","1126","Camellos","1","","010619","010613","02121.01"
"1756","Animales Vivos","1016","Caprinos","1","","010420","010420","02123"
"QA","Animales Vivos","1016","Caprinos","1","","010420","010420","02123"
"1756","Animales Vivos","1034","Cerdos","1","","010310, 010391, 010392","010310, 010391, 010392","02140"
"QA","Animales Vivos","1034","Cerdos","1","","010310, 010391, 010392","010310, 010391, 010392","02140"
"QA","Animales Vivos","1181","Colmenas","1","","010690","010641","02196"
"1756","Animales Vivos","1140","Conejos y liebres","1","","010619","010614","02191"
"QA","Animales Vivos","1140","Conejos y liebres","1","","010619","010614","02191"
"1756","Animales Vivos","1057","Gallinas","1","","010511, 010519, 010594, 010599","010511, 010515, 010594, 010599","02151"
"QA","Animales Vivos","1057","Gallinas","1","","010511, 010519, 010594, 010599","010511, 010515, 010594, 010599","02151"
"1756","Animales Vivos","866","Ganado vacuno","1","","010210, 010290","010221, 010229","02111"
"QA","Animales Vivos","866","Ganado vacuno","1","","010210, 010290","010221, 010229","02111"
"1756","Animales Vivos","1072","Gansos y pintadas","1","","010519, 010599","010514, 010599","02153"
"QA","Animales Vivos","1072","Gansos y pintadas","1","","010519, 010599","010514, 010599","02153"
"1756","Animales Vivos","1110","Mulas","1","","010190","010190","02133"
"QA","Animales Vivos","1110","Mulas","1","","010190","010190","02133"
"QA","Animales Vivos","1749","Ovejas y cabras","1","","","","F1749"
"1756","Animales Vivos","976","Ovinos","1","","010410","010410","02122"
"QA","Animales Vivos","976","Ovinos","1","","010410","010410","02122"
"1756","Animales Vivos","1083","Palomas y otras aves","1","","010631, 010632, 010639","010631, 010632, 010639","02194"
"QA","Animales Vivos","1083","Palomas y otras aves","1","","010631, 010632, 010639","010631, 010632, 010639","02194"
"1756","Animales Vivos","1068","Patos","1","","010519, 010599","010513, 010599","02154"
