Año;Elemento;Código Grupo de Productos;Grupo de Productos;Código Producto;Producto;Valor;Unidad
2000;Producción;Cultivos Derivados;Cultivos Derivados;331;Aceite, Algodón;40600.0;toneladas
2001;Producción;Cultivos Derivados;Cultivos Derivados;331;Aceite, Algodón;38900.0;toneladas
2002;Producción;Cultivos Derivados;Cultivos Derivados;331;Aceite, Algodón;41800.0;toneladas
2003;Producción;Cultivos Derivados;Cultivos Derivados;331;Aceite, Algodón;40600.0;toneladas
2004;Producción;Cultivos Derivados;Cultivos Derivados;331;Aceite, Algodón;21317.0;toneladas
2005;Producción;Cultivos Derivados;Cultivos Derivados;331;Aceite, Algodón;20694.0;toneladas
2006;Producción;Cultivos Derivados;Cultivos Derivados;331;Aceite, Algodón;9322.0;toneladas
2007;Producción;Cultivos Derivados;Cultivos Derivados;331;Aceite, Algodón;7640.0;toneladas
2008;Producción;Cultivos Derivados;Cultivos Derivados;331;Aceite, Algodón;3464.0;toneladas
2009;Producción;Cultivos Derivados;Cultivos Derivados;331;Aceite, Algodón;13900.0;toneladas
2010;Producción;Cultivos Derivados;Cultivos Derivados;331;Aceite, Algodón;13900.0;toneladas
2011;Producción;Cultivos Derivados;Cultivos Derivados;331;Aceite, Algodón;10500.0;toneladas
2012;Producción;Cultivos Derivados;Cultivos Derivados;331;Aceite, Algodón;15500.0;toneladas
2013;Producción;Cultivos Derivados;Cultivos Derivados;331;Aceite, Algodón;15600.0;toneladas
2014;Producción;Cultivos Derivados;Cultivos Derivados;331;Aceite, Algodón;16800.0;toneladas
2015;Producción;Cultivos Derivados;Cultivos Derivados;331;Aceite, Algodón;14600.0;toneladas
2016;Producción;Cultivos Derivados;Cultivos Derivados;331;Aceite, Algodón;15400.0;toneladas
2017;Producción;Cultivos Derivados;Cultivos Derivados;331;Aceite, Algodón;14200.0;toneladas
2018;Producción;Cultivos Derivados;Cultivos Derivados;331;Aceite, Algodón;12400.0;toneladas
2000;Producción;Cultivos Derivados;Cultivos Derivados;258;Aceite, almendra de palma;2.0;toneladas
2001;Producción;Cultivos Derivados;Cultivos Derivados;258;Aceite, almendra de palma;2.0;toneladas
2002;Producción;Cultivos Derivados;Cultivos Derivados;258;Aceite, almendra de palma;25.0;toneladas
2003;Producción;Cultivos Derivados;Cultivos Derivados;258;Aceite, almendra de palma;9.0;toneladas
2004;Producción;Cultivos Derivados;Cultivos Derivados;258;Aceite, almendra de palma;74.0;toneladas
2005;Producción;Cultivos Derivados;Cultivos Derivados;258;Aceite, almendra de palma;139.0;toneladas
2006;Producción;Cultivos Derivados;Cultivos Derivados;258;Aceite, almendra de palma;55.0;toneladas
2007;Producción;Cultivos Derivados;Cultivos Derivados;258;Aceite, almendra de palma;0.0;toneladas
2008;Producción;Cultivos Derivados;Cultivos Derivados;258;Aceite, almendra de palma;0.0;toneladas
2009;Producción;Cultivos Derivados;Cultivos Derivados;258;Aceite, almendra de palma;0.0;toneladas
2010;Producción;Cultivos Derivados;Cultivos Derivados;258;Aceite, almendra de palma;0.0;toneladas
2011;Producción;Cultivos Derivados;Cultivos Derivados;258;Aceite, almendra de palma;0.0;toneladas
2012;Producción;Cultivos Derivados;Cultivos Derivados;258;Aceite, almendra de palma;0.0;toneladas
2013;Producción;Cultivos Derivados;Cultivos Derivados;258;Aceite, almendra de palma;0.0;toneladas
2014;Producción;Cultivos Derivados;Cultivos Derivados;258;Aceite, almendra de palma;0.0;toneladas
2015;Producción;Cultivos Derivados;Cultivos Derivados;258;Aceite, almendra de palma;0.0;toneladas
2016;Producción;Cultivos Derivados;Cultivos Derivados;258;Aceite, almendra de palma;0.0;toneladas
2017;Producción;Cultivos Derivados;Cultivos Derivados;258;Aceite, almendra de palma;0.0;toneladas
2000;Producción;Cultivos Derivados;Cultivos Derivados;281;Aceite, cártamo, alazor;182.0;toneladas
2001;Producción;Cultivos Derivados;Cultivos Derivados;281;Aceite, cártamo, alazor;117.0;toneladas
2002;Producción;Cultivos Derivados;Cultivos Derivados;281;Aceite, cártamo, alazor;153.0;toneladas
2003;Producción;Cultivos Derivados;Cultivos Derivados;281;Aceite, cártamo, alazor;147.0;toneladas
2004;Producción;Cultivos Derivados;Cultivos Derivados;281;Aceite, cártamo, alazor;142.0;toneladas
2005;Producción;Cultivos Derivados;Cultivos Derivados;281;Aceite, cártamo, alazor;160.0;toneladas
2006;Producción;Cultivos Derivados;Cultivos Derivados;281;Aceite, cártamo, alazor;140.0;toneladas
2007;Producción;Cultivos Derivados;Cultivos Derivados;281;Aceite, cártamo, alazor;73.0;toneladas
2008;Producción;Cultivos Derivados;Cultivos Derivados;281;Aceite, cártamo, alazor;37.0;toneladas
2009;Producción;Cultivos Derivados;Cultivos Derivados;281;Aceite, cártamo, alazor;725.0;toneladas
2010;Producción;Cultivos Derivados;Cultivos Derivados;281;Aceite, cártamo, alazor;978.0;toneladas
2011;Producción;Cultivos Derivados;Cultivos Derivados;281;Aceite, cártamo, alazor;1744.0;toneladas
2012;Producción;Cultivos Derivados;Cultivos Derivados;281;Aceite, cártamo, alazor;511.0;toneladas
2013;Producción;Cultivos Derivados;Cultivos Derivados;281;Aceite, cártamo, alazor;984.0;toneladas
2014;Producción;Cultivos Derivados;Cultivos Derivados;281;Aceite, cártamo, alazor;1057.0;toneladas
2015;Producción;Cultivos Derivados;Cultivos Derivados;281;Aceite, cártamo, alazor;875.0;toneladas
2016;Producción;Cultivos Derivados;Cultivos Derivados;281;Aceite, cártamo, alazor;1191.0;toneladas
2017;Producción;Cultivos Derivados;Cultivos Derivados;281;Aceite, cártamo, alazor;1367.0;toneladas
2000;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;22800.0;toneladas
2001;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;17500.0;toneladas
2002;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;11100.0;toneladas
2003;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;9600.0;toneladas
2004;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;19400.0;toneladas
2005;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;6300.0;toneladas
2006;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;34300.0;toneladas
2007;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;28700.0;toneladas
2008;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;37300.0;toneladas
2009;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;42600.0;toneladas
2010;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;45000.0;toneladas
2011;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;34500.0;toneladas
2012;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;36300.0;toneladas
2013;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;36343.0;toneladas
2014;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;40922.0;toneladas
2015;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;44400.0;toneladas
2016;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;51000.0;toneladas
2017;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;57500.0;toneladas
2018;Producción;Cultivos Derivados;Cultivos Derivados;271;Aceite, colza;62700.0;toneladas
2000;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;31.0;toneladas
2001;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;13.0;toneladas
2002;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;1.0;toneladas
2003;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;0.0;toneladas
2004;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;0.0;toneladas
2005;Producción;Cultivos Derivados;Cultivos Derivados;252;Aceite, copra;0.0;toneladas
