Código Ámbito;Ámbito;Código área (FAO);Área;Código Elemento;Elemento;Código Producto (FAO);Producto;Código año;Año;Unidad;Valor;Grupo productos
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;331;Aceite, algodón;2000;2000;toneladas;40600.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;331;Aceite, algodón;2001;2001;toneladas;38900.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;331;Aceite, algodón;2002;2002;toneladas;41800.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;331;Aceite, algodón;2003;2003;toneladas;40600.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;331;Aceite, algodón;2004;2004;toneladas;21317.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;331;Aceite, algodón;2005;2005;toneladas;20694.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;331;Aceite, algodón;2006;2006;toneladas;9322.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;331;Aceite, algodón;2007;2007;toneladas;7640.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;331;Aceite, algodón;2008;2008;toneladas;3464.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;331;Aceite, algodón;2009;2009;toneladas;13900.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;331;Aceite, algodón;2010;2010;toneladas;13900.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;331;Aceite, algodón;2011;2011;toneladas;10500.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;331;Aceite, algodón;2012;2012;toneladas;15500.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;331;Aceite, algodón;2013;2013;toneladas;15600.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;331;Aceite, algodón;2014;2014;toneladas;16800.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;331;Aceite, algodón;2015;2015;toneladas;14600.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;331;Aceite, algodón;2016;2016;toneladas;15400.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;331;Aceite, algodón;2017;2017;toneladas;14200.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;331;Aceite, algodón;2018;2018;toneladas;12400.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;258;Aceite, almendra de palma;2000;2000;toneladas;2.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;258;Aceite, almendra de palma;2001;2001;toneladas;2.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;258;Aceite, almendra de palma;2002;2002;toneladas;25.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;258;Aceite, almendra de palma;2003;2003;toneladas;9.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;258;Aceite, almendra de palma;2004;2004;toneladas;74.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;258;Aceite, almendra de palma;2005;2005;toneladas;139.0;Cultivos y derivados
