Código Ámbito,Ámbito,Código área (FAO),Área,Código Elemento,Elemento,Código Producto (FAO),Producto,Código año,Año,Unidad,Valor
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1185","Capullos devanables","2000","2000","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1185","Capullos devanables","2001","2001","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1185","Capullos devanables","2002","2002","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1185","Capullos devanables","2003","2003","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1185","Capullos devanables","2004","2004","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1185","Capullos devanables","2005","2005","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1185","Capullos devanables","2006","2006","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1185","Capullos devanables","2007","2007","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1185","Capullos devanables","2008","2008","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1185","Capullos devanables","2009","2009","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1185","Capullos devanables","2010","2010","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1185","Capullos devanables","2011","2011","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1185","Capullos devanables","2012","2012","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1185","Capullos devanables","2013","2013","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1185","Capullos devanables","2014","2014","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1185","Capullos devanables","2015","2015","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1185","Capullos devanables","2016","2016","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1185","Capullos devanables","2017","2017","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1185","Capullos devanables","2018","2018","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1166","Carne nep","2000","2000","toneladas","500"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1166","Carne nep","2001","2001","toneladas","700"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1166","Carne nep","2002","2002","toneladas","100"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1166","Carne nep","2003","2003","toneladas","300"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1166","Carne nep","2004","2004","toneladas","500"
